SPEC,STRAT,YEAR,INT,sampleID,right.total.length.mm,left.total.length.mm
4429,311.3,16022.053,16250,NA,NA,NA
4430,306.3,16183.968,16250,NA,NA,NA
4431,305.2,16219.589,16250,NA,NA,NA
4432,311.3,16022.053,16250,NA,NA,NA
4433,311.6,16012.339,16250,NA,NA,NA
4434,311.7,16009.1,16250,NA,NA,NA
4435,306.8,16167.776,16250,NA,NA,NA
4436,311.7,16009.1,16250,NA,NA,NA
4437,306.2,16187.206,16250,NA,NA,NA
4438,308,16128.917,16250,NA,NA,NA
4439,313.1,15963.764,16000,NA,NA,NA
4440,311.1,16028.53,16250,NA,NA,NA
4441.1,307.1,16158.062,16250,NA,NA,NA
4441.2,307.1,16158.062,16250,NA,NA,NA
4442,313.4,15976.717,16000,NA,NA,NA
4443,306.2,16187.206,16250,NA,NA,NA
4444,313.4,15976.717,16000,NA,NA,NA
4445,304.3,16248.734,16250,NA,NA,NA
4446,313,15967.002,16000,NA,NA,NA
4447,313.8,15963.764,16000,NA,NA,NA
4448,351.1,14786.646,15000,NA,NA,NA
4449,309.6,16077.104,16250,NA,NA,NA
4450,351.8,14763.978,15000,NA,NA,NA
4451,351.9,14760.739,15000,NA,NA,NA
4452,315.6,15905.475,16000,NA,NA,NA
4453,306.7,16171.015,16250,NA,NA,NA
4454,312.5,15983.194,16000,NA,NA,NA
4455,307.3,16151.585,16250,NA,NA,NA
4456,314.4,15944.334,16000,NA,NA,NA
4457,351.1,14786.646,15000,NA,NA,NA
4458,311.8,16005.862,16250,NA,NA,NA
4459,310.7,16041.483,16250,NA,NA,NA
4460,315.7,15902.237,16000,NA,NA,NA
4461,350.1,14819.029,15000,NA,NA,NA
4462,351.7,14767.216,15000,NA,NA,NA
4463,314.4,15944.334,16000,NA,NA,NA
4464,310.1,16060.913,16250,NA,NA,NA
4465,313.8,15963.764,16000,NA,NA,NA
4466,306.9,16164.538,16250,NA,NA,NA
4467,321.8,15704.701,15750,NA,NA,NA
4468,321.1,15727.369,15750,NA,NA,NA
4469,307.1,16158.062,16250,NA,NA,NA
4470,316.1,15889.283,16000,NA,NA,NA
4471,307.7,16138.632,16250,NA,NA,NA
4472,309.5,16080.343,16250,NA,NA,NA
4473,311.5,16015.577,16250,NA,NA,NA
4474,308.1,16125.679,16250,NA,NA,NA
4475,315.2,15918.428,16000,NA,NA,NA
4476,307.4,16148.347,16250,NA,NA,NA
4477,319.4,15782.42,16000,NA,NA,NA
4478,317.9,15830.994,16000,NA,NA,NA
4479,315.6,15905.475,16000,NA,NA,NA
4480,317.9,15830.994,16000,NA,NA,NA
4481,317.7,15837.471,16000,NA,NA,NA
4482,317.9,15830.994,16000,NA,NA,NA
4483,323.6,15646.412,15750,NA,NA,NA
4484,313.7,15967.002,16000,NA,NA,NA
4485,317,15860.139,16000,NA,NA,NA
4486,315.1,15921.666,16000,NA,NA,NA
4487,313.3,15979.956,16000,NA,NA,NA
4488,324.9,15604.314,15750,NA,NA,NA
4489,308,16128.917,16250,NA,NA,NA
4490,308,16128.917,16250,NA,NA,NA
4491,308.1,16125.679,16250,NA,NA,NA
4492,308.1,16125.679,16250,NA,NA,NA
4493,315.9,15895.76,16000,NA,NA,NA
4494,318.7,15805.088,16000,NA,NA,NA
4495,324.7,15610.791,15750,NA,NA,NA
4496,322.2,15691.748,15750,NA,NA,NA
4497,316.4,15879.569,16000,NA,NA,NA
4498.1,317.1,15856.901,16000,NA,NA,NA
4498.2,317.1,15856.901,16000,NA,NA,NA
4499,317.2,15853.662,16000,NA,NA,NA
4500,320,15762.99,16000,NA,NA,NA
4501,322.3,15688.509,15750,NA,NA,NA
4502,317.9,15830.994,16000,NA,NA,NA
4503,317.9,15830.994,16000,NA,NA,NA
4504,317.9,15830.994,16000,NA,NA,NA
4505,317.9,15830.994,16000,NA,NA,NA
4506,317.9,15830.994,16000,NA,NA,NA
4507.1,316.8,15866.615,16000,NA,NA,NA
4507.2,316.8,15866.615,16000,NA,NA,NA
4508,320.8,15737.084,15750,NA,NA,NA
4509,319.8,15769.467,16000,NA,NA,NA
4510,319.7,15772.705,16000,NA,NA,NA
4511,320.6,15743.56,15750,NA,NA,NA
4512,320.4,15750.037,16000,NA,NA,NA
4513,317.1,15856.901,16000,NA,NA,NA
4514,320.8,15737.084,15750,NA,NA,NA
4515,337.8,15214.1,15250,NA,NA,NA
4516,335.6,15285.342,15500,NA,NA,NA
4517,317.6,15840.709,16000,NA,NA,NA
4518,317.5,15843.947,16000,NA,NA,NA
4519,338.3,15197.909,15250,NA,NA,NA
4520,322.3,15688.509,15750,NA,NA,NA
4521,319.4,15782.42,16000,NA,NA,NA
4522,322.1,15694.986,15750,NA,NA,NA
4523,322.8,15672.318,15750,NA,NA,NA
4524,322.1,15694.986,15750,NA,NA,NA
4525,321.9,15701.463,15750,NA,NA,NA
4526,322,15698.224,15750,NA,NA,NA
4527.1,321.6,15711.178,15750,NA,NA,NA
4527.2,321.6,15711.178,15750,NA,NA,NA
4528,323.4,15652.888,15750,NA,NA,NA
4529,322.4,15685.271,15750,NA,NA,NA
4530,324,15633.459,15750,NA,NA,NA
4531,321.1,15727.369,15750,NA,NA,NA
4532,337.7,15217.338,15250,NA,NA,NA
4533,322.1,15694.986,15750,NA,NA,NA
4534,322.2,15691.748,15750,NA,NA,NA
4535,334.7,15314.487,15500,NA,NA,NA
4536,309.4,16083.581,16250,NA,NA,NA
4537,337.8,15214.1,15250,NA,NA,NA
4538,310,16064.151,16250,NA,NA,NA
