"","univ.specimenID","pmx","ect","cle","pf5","pga","pgp","tpg","lps","lpt","ds1","ds2","ds3","ldf","stl","mcv","mav","mdf","maf","mpt","mds","ips","ptt","layer.old.to.young"
"369","k.13_313",NA,10.42,10.86,NA,NA,NA,11.09,4.37,2.55,NA,3.05,1.91,6.07,63.88,19,14,9,8,6,2,3,4,7
"370","k.13_316",3.76,10.94,11.09,NA,NA,NA,11.71,6.07,2.33,NA,NA,1.53,7.46,72.8,19,14,10,9,5,1,3,2,7
"371","k.13_318",NA,9.48,8.78,NA,2.15,3.33,5.48,NA,3.21,NA,3.59,NA,5.55,61.33,19,14,9,8,5,1,2,2,7
"372","k.13_321",3.48,9.43,10.12,NA,2.26,4.86,7.12,NA,2.66,NA,NA,2.15,5.53,67.78,20,14,11,9,5,1,2,2,7
"373","k.13_326",NA,9.28,NA,NA,2.44,5.79,8.23,NA,2.05,NA,3.2,2.09,5.88,65.06,18,14,9,8,5,2,2.4,2,7
"374","k.13_328",3.18,9.78,10.58,NA,NA,7.18,NA,NA,2.17,NA,NA,1.89,5.16,65.32,19,14,8,8,5,1,2.4,2,7
"375","k.13_331",1.61,6.46,6.59,NA,NA,NA,8.38,5.17,1.65,NA,NA,1.75,3.81,18.13,19,14,10,8,5,1,3,3,7
"376","k.13_332",2.88,9.33,9.36,NA,2,6.91,8.91,NA,1.93,NA,3.71,2.02,4.73,56.49,19,14,10,9,5,2,2.4,2,7
"377","k.13_333",2.87,10.21,10.18,NA,NA,NA,11.11,7.13,2.14,NA,NA,2.33,5.52,63.6,19,14,9,8,5,1,3,2,7
"378","k.13_337",2.36,6.89,NA,NA,NA,NA,8.57,5.81,2.52,NA,NA,1.82,4.44,52.34,20,14,10,9,5,1,3,2,7
"379","k.13_339",1.39,5.44,6.09,NA,2.27,NA,2.27,NA,1.6,NA,2.6,1.16,3.24,35.59,19,14,9,8,6,2,1,4,7
"380","k.13_340",3.28,11.21,11.62,NA,1.68,3.81,5.39,NA,1.85,NA,NA,NA,5,69.2,19,14,8,8,6,0,1.4,2,7
"381","k.13_341",3.3,NA,NA,NA,2.29,1.2,3.49,NA,2.59,NA,NA,2.22,NA,69.04,19,14,9,8,5,1,1.2,2,7
"382","k.13_356",3.09,10.26,10.05,NA,NA,NA,10.62,4.75,1.84,NA,NA,1.71,5.93,58.64,19,14,9,8,6,1,3,2,7
"383","k.13_357",4.01,10.87,NA,NA,3.3,7.63,10.9,NA,2.96,NA,NA,1.89,5.75,66.32,19,14,10,9,5,1,2.4,2,7
"384","k.13_366",4.35,10.44,10.43,NA,NA,NA,13.36,5.6,2.76,NA,NA,2.67,5.66,73.47,19,14,9,8,6,1,3,4,7
"385","k.13_368",4.28,11.44,11.51,NA,NA,NA,10.78,6.1,2.43,NA,NA,2.38,NA,79.12,19,14,10,9,6,1,3,2,7
"386","k.13_369",3.61,10.56,10.39,NA,3.03,NA,3.03,NA,2.75,NA,NA,NA,6.23,70.6,20,14,10,9,5,0,1,3,7
"387","k.13_371",2.91,10.76,9.88,NA,NA,NA,11.08,5.03,2.13,NA,NA,1.44,NA,66.74,19,14,8,8,5,1,3,2,7
"388","k.13_375",4.01,11.61,11.65,NA,NA,NA,12.85,5.12,2.28,NA,4.01,2.15,6.53,70.41,18,14,9,8,5,2,3,2,7
"389","k.13_381",NA,9.43,NA,NA,NA,NA,10.82,5.5,2.14,NA,NA,1.89,NA,62.88,19,14,10,9,5,1,3,3,7
"390","k.13_390",2.89,7.16,7.64,NA,NA,NA,9.12,4.47,2.55,NA,NA,1.78,4.55,54.06,19,14,9,8,6,1,3,2,7
"391","k.13_391",NA,9.61,10.35,NA,NA,7.3,NA,NA,2.01,NA,NA,2,5.57,67.96,19,14,10,9,5,1,2.2,2,7
"392","k.13_393",2.67,6.27,6.9,NA,1.64,3.37,5.01,NA,1.61,NA,NA,1.75,4.72,49.63,20,14,8,8,5,1,2.2,2,7
"393","k.12_205",2.26,7.54,7.38,NA,NA,NA,7.15,3.24,1.03,NA,NA,NA,NA,56.84,19,NA,9,8,5,0,3,2,8
"394","k.12_209",2.24,7.55,7.66,NA,NA,NA,7.85,4.1,2.1,NA,NA,1.64,NA,52.98,19,14,10,9,6,1,3,3,8
"395","k.12_213",3.07,NA,NA,NA,NA,3.78,NA,NA,2.3,NA,3.38,1.89,4.77,48.92,19,14,9,8,5,2,2,3,8
"396","k.12_214",3.15,10.44,NA,NA,2.19,NA,2.19,NA,2.58,NA,3.86,1.82,NA,54.91,19,14,9,8,5,2,1,3,8
"397","k.12_221",2.43,8.42,NA,NA,1.86,2.05,3.91,NA,NA,NA,NA,1.56,5.46,52.57,20,14,8,7,5,1,2.2,2,8
"398","k.12_222",3.88,NA,NA,NA,3.66,NA,3.66,NA,2.26,NA,NA,2.29,7.29,72.6,19,14,10,9,5,1,1,3,8
"399","k.12_225",4.24,10.32,NA,NA,3.45,8.04,11.49,NA,2.44,NA,NA,2.04,6.98,70.07,19,14,9,8,5,1,2.2,3,8
"400","k.12_226",3.75,9.1,9.74,NA,NA,NA,NA,NA,2.01,NA,NA,NA,NA,67.27,19,14,10,9,5,0,0,NA,8
"401","k.12_229",NA,8.12,8.05,NA,2.43,NA,2.43,NA,2.17,NA,NA,1.6,5.6,62.27,18,15,9,8,5,1,1,3,8
"402","k.12_230",3.05,9.21,NA,NA,2.82,NA,2.82,NA,1.99,NA,NA,1.82,NA,58.07,19,14,10,9,5,1,1,2,8
"403","k.12_237",2.62,8.2,NA,NA,2.54,NA,2.54,NA,1.48,NA,NA,1.78,5.02,47.1,19,14,10,9,5,1,1,2,8
"404","k.12_241",2.88,7.69,8.09,NA,NA,NA,8.33,3.92,1.39,NA,NA,NA,NA,55.28,20,14,10,8,5,0,3,2,8
"405","k.12_245",NA,6.77,6.41,NA,NA,NA,7.08,4.04,1.74,NA,NA,1.53,NA,47.19,19,14,9,8,5,1,3,3,8
"406","k.12_249",2.37,6.85,7.15,NA,NA,NA,NA,NA,2.07,NA,3.15,1.47,NA,47.09,18,14,9,9,5,2,0,2,8
"407","k.12_250",3.72,11.86,NA,NA,3.27,NA,3.27,NA,1.98,NA,NA,1.7,NA,65.33,20,14,10,9,5,1,1,2,8
"408","k.12_254",2.27,6.76,NA,NA,NA,NA,6.99,3.13,2.03,NA,NA,1.45,NA,43.8,19,14,9,8,5,1,3,2,8
"409","k.12_256",2.58,7.68,7.99,NA,2.25,NA,2.25,NA,2.13,NA,NA,2.13,NA,58.12,19,14,9,8,5,1,1,2,8
"410","k.12_257",2.65,7.37,7.93,NA,2.59,NA,2.59,NA,1.85,NA,NA,1.3,4.51,49.14,19,14,8,7,5,1,1,2,8
"411","k.12_263",4.01,10.74,10.11,NA,2.33,NA,2.33,NA,2.47,NA,NA,1.77,NA,69.51,18,15,9,8,6,1,1,3,8
"412","k.12_264",3.08,8.5,NA,NA,1.87,NA,1.87,NA,2.66,NA,NA,1.85,NA,56.48,20,14,10,9,6,1,1,4,8
"413","k.12_265",2.5,8.22,NA,NA,1.56,NA,1.56,NA,1.78,NA,NA,1.61,NA,52.7,19,14,9,8,5,1,1,2,8
"414","k.12_266",3.03,8.94,9.19,NA,2.57,4.24,6.81,NA,1.9,NA,NA,NA,4.42,51.73,19,14,10,9,5,0,2,3,8
"415","k.12_267",2.68,6.51,6.75,NA,1.82,4.65,6.37,NA,1.92,NA,NA,1.79,4.4,43.65,19,14,9,8,5,1,2,3,8
"416","k.12_271",2.79,8.16,NA,NA,2.67,1.9,4.57,NA,1.94,NA,NA,1.81,NA,56.77,20,14,9,8,6,1,1.2,2,8
"417","k.12_285",3.7,10.03,10.99,NA,2.57,NA,2.57,NA,2.72,NA,NA,NA,NA,70.21,19,NA,9,8,5,0,1,NA,8
"418","k.12_287",2.99,7.9,NA,NA,NA,NA,8.11,4.04,1.78,NA,NA,1.74,5.25,48.9,20,14,9,8,6,1,3,3,8
"419","k.12_290",NA,7.28,7.4,NA,2.87,NA,2.87,NA,NA,NA,NA,1.79,NA,50.97,19,14,9,8,4,1,1,1,8
"420","k.12_291",2.64,8.38,8.28,NA,4.01,NA,4.01,NA,1.67,NA,NA,1.88,5.4,54.36,19,14,9,8,5,1,1,2,8
"421","k.12_292",2.73,7.35,6.99,NA,2.47,NA,2.47,NA,1.92,NA,NA,1.73,NA,50.95,19,14,10,9,5,1,1,2,8
"422","k.12_296",2.67,7.97,7.47,NA,NA,NA,8.87,4.16,2.61,NA,NA,1.63,4.76,47.83,19,14,10,9,5,1,3,3,8
"423","k.12_298",4.78,NA,NA,NA,2.18,NA,2.18,NA,3,NA,3.96,2.53,8.07,94.3,19,14,10,9,5,2,1,2,8
"424","k.12_299",2.54,8.74,8.26,NA,2.21,4.92,7.13,NA,NA,NA,NA,2.1,5.88,58.31,19,14,9,8,NA,1,2.4,NA,8
"425","k.12_302",4.26,9.92,10.71,NA,4.57,8.66,13.23,NA,2.53,NA,NA,1.66,6.68,70.55,19,14,11,9,5,1,2.6,2,8
"426","k.12_303",3.67,9.89,NA,NA,1.69,NA,1.69,NA,2.58,NA,NA,2.48,7.39,72.65,19,14,9,9,5,1,1,2,8
"427","k.12_308",2.58,7.38,NA,NA,1.3,NA,1.3,NA,0.98,NA,NA,1.82,NA,48.41,18,14,10,9,5,1,1,2,8
"428","k.12_311",2.53,7.52,7.34,NA,1.89,NA,1.89,NA,1.71,NA,NA,1.72,4.58,44.52,19,14,9,8,6,1,1,4,8
"429","k.12_314",2.86,8.1,8.52,NA,1.79,NA,1.79,NA,1.99,NA,NA,1.92,4.83,52.77,19,NA,11,9,5,1,1,2,8
"430","k.12_335",2.88,9.24,NA,NA,2.27,NA,2.27,NA,2.32,NA,3.35,1.5,5.37,57.41,19,13,9,8,5,2,1,3,8
"431","k.12_344",4.19,10.32,10.88,NA,3.07,8.46,11.53,NA,2.84,NA,NA,1.74,7.19,63.89,20,14,9,8,5,1,2,2,8
"432","k.12_347",3.54,10.1,NA,NA,2.97,5.91,8.88,NA,2.34,NA,NA,1.68,NA,67.56,19,14,9,8,5,1,2.2,2,8
"433","k.12_186",2.52,6.74,7.04,NA,2.41,NA,2.41,NA,1.51,NA,NA,1.55,4.7,51.42,19,14,10,9,5,1,1,2,8
"434","k.12_190",2.88,7.88,NA,NA,2.3,NA,2.3,NA,0.69,NA,NA,1.5,5.44,50.91,18,14,9,8,5,1,1,2,8
"435","k.11_003",3.57,8.54,9.52,NA,2.9,3.03,5.93,NA,2.02,NA,3.88,1.71,6.9,69.07,19,14,10,9,5,2,1.2,2,9
